,title,description
2140,Beach Weather Stations - Automated Sensors - 2015 - Interval Rain,"The Chicago Park District maintains weather sensors at beaches along Chicago's Lake Michigan lakefront. These sensors generally capture the indicated measurements hourly while the sensors are in operation during the summer.  During other seasons and at some other times, information from the sensors may not be available.  See https://data.cityofchicago.org/id/qmqz-2xku for a dataset with similar measurements on the lake water, itself."
2141,Electrical Permits,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel."
2142,Historic Zoning Districts - 1998,Zoning Districts from 1998.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.
2143,Chicago Department of Public Health WIC Clinic Locations,"City of Chicago Mental Health, Sexually Transmitted Infection (STI) Specialty, and Women Infant Children (WIC) clinic locations, hours of operation and contact information."
2144,Crimes - 2008,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present, minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at 312.745.6071 or RandD@chicagopolice.org. Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use. Data is updated daily Tuesday through Sunday. The dataset contains more than 65,000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore, when downloading the file, select CSV from the Export menu. Open the file in an ASCII text editor, such as Wordpad, to view and search. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes, go to http://bit.ly/rk5Tpc."
2145,Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Service At Location),An agency-verified dataset of City-funded contracted social service provision locations.
2146,Performance Metrics - Chicago Park District - Park Security Checks,"The Security Department ensures the safety and security of patrons, employees and facilities in Chicago���s Parks. The data that is displayed below represents the total number of security checks that staff made during the previous week."
2147,Sidewalk Centerline,Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.
2148,Board of Standards and Appeals (BSA) Action Portal,BSA Index Identifier from 1916 thru 1997.
2149,FY2021 PMMR Agency Resources,"- NYC agency resources from the FY21 Preliminary Mayor's Management Report (PMMR), including expenditures (includes all funds), personnel, revenue and paid overtime."
2150,Civic Center Cultural Landscape Inventory,"The Civic Center Cultural Landscape Inventory provides information about the historic landscape features that contribute to the Civic Center Historic District.  For more information please see the Civic Center Cultural Landscape Inventory website: http://sf-planning.org/civic-center-cultural-landscape-inventory_x000D_
_x000D_
The dataset is a zipped ArcGIS map package."
2151,FY2019 PMMR Agency Resources,"NYC agency resources from the FY19 Preliminary Mayor's Management Report (PMMR), including expenditures (includes all funds), personnel, revenue and paid overtime."
2152,Beach Water and Weather Sensor Locations - Map,The locations of the Chicago Park District water and weather sensors that feed https://data.cityofchicago.org/d/qmqz-2xku and https://data.cityofchicago.org/d/k7hf-8y75.
2153,SF Development Pipeline 2018 Q3,"Snapshot of San Francisco Development Pipeline. Tracking of construction and entitlement activity based on data from Department of Building Inspection's Permit Tracking and the Planning Department's Project & Permit Tracking System, processed quarterly. For more information please see http://sf-planning.org/pipeline-report

A data dictionary can be downloaded from here:  https://sfplanninggis.s3.amazonaws.com/PipelineDataDictionary.xlsx"
2154,Traffic Collision Data 01Jan2015-31May2017 VistaDelMar-Imperial-Culver,"This dataset reflects traffic collision incidents in the City of Los Angeles dating back to 2010. This data is transcribed from original traffic reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0��, 0��). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.

MO codes description can be found here:  https://data.lacity.org/api/views/y8tr-7khq/files/3a2acdce-ef66-4cd6-b32c-ca6fa9c5336f?download=true&filename=MO_CODES_Numerical_20180627.pdf"
2155,SF Development Pipeline 2017 Q3 Map,"Snapshot of San Francisco Development Pipeline. Tracking of construction and entitlement activity based on data from Department of Building Inspection's Permit Tracking and the Planning Department's Project & Permit Tracking System, processed quarterly. For more information please see http://sf-planning.org/pipeline-report"
2156,Boundaries - Zoning Districts (deprecated October 2016),"OUTDATED. See the current data at https://data.cityofchicago.org/d/7cve-jgbp -- Zoning district boundaries by type and classification.Chicago is divided into zoning districts that regulate land use activities across the city. Data is based on the Chicago Zoning Ordinance and Land Use Ordinance http://bit.ly/9eqawi. Zoning Types are defined in this ordinance. For additional information about business uses, review the License/Zoning Reference (LZR) Guide http://bit.ly/vvGzne, which is based on the Municipal Code and is intended to assist business owners in determining the proper zoning district and primary business license for specific business types. Related Applications: Zoning Map https://gisapps.cityofchicago.org/zoning/"
2157,LADOT Parking Calendar Sign Locations,"Citywide locations with new calendar-style parking signs installed or coming soon.

Updated as needed."
2158,FY2017 MMR Spending and Budget,"NYC agency spending and budget information by units of appropriation data from the Mayor's Management Report (MMR)._x000D_
For information related to the ���Applicable MMR Goals��� column, refer to <a <a href='https://data.cityofnewyork.us/City-Government/FY17-MMR-Goals-And-Services/xk6g-r83g'>FY17 MMR Goals And Services</a>_x000D_
<i>Use ���CSV for Excel��� when downloading this dataset and then sort in alphabetical order by Agency.<i>"
2159,Department for the Aging (DFTA) Caregiver Resources Contracted Providers,Listing of DFTA Caregivers Contracts Information and Hours of Operation.
2160,PRNC AB,"Listing of all active businesses currently registered with the Office of Finance. An ""active"" business is defined as a registered business whose owner has not notified the Office of Finance of a cease of business operations. Update Interval: Monthly."
2161,Boundaries - Planning Districts,"Planning district boundaries in Chicago. To view or use these files, compression software and special GIS software, such as ESRI ArcGIS, is required."
2162,2011 Adopted Budget - Expenditures Allowance by Budget Control Level (BCL),"Excel version of Attachment A to Ordinance 123442, the 2011 Budget Adoption Ordinance."
2163,2018 Kindergarten Directory - Brooklyn,2018 Brooklyn Kindergarten Directory
2164,Chicago Public Schools - Middle School Attendance Boundaries SY1415,"Attendance boundaries for middle schools in the Chicago Public Schools district for school year 2014-2015. Note: only 23 middle schools have attendance boundaries in school year 2014-2015. Middle school boundaries are often established to relieve overcrowding at nearby elementary schools. Generally, all students in the applicable middle school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required."
2165,Where the Dollar Comes From and Goes To,This dataset shows where the dollar comes from and goes to in the budget. Data is reported in dollars and updated annually.
2166,CDBG-DR Reimbursements Over Time,This dataset contains reimbursements amounts for the Community Development Block Grant -Disaster Recovery grant. The reporting unit for funding amount is listed in actual dollars. The reimbursements are calculated at the end of every quarter and calendar year.  This dataset is usually updated quarterly.
2167,"Committee Summary Totals, June 7, 2016 and November 8, 2016 Elections",This dataset includes all summary totals e-filed on Fair Political Practices Commission (FPPC) Form 460 Summary Page from 1998 to the present.The data is current as of the last modified date on this dataset.See the data key for column definitions:  https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76
2168,"Third Party Spending - Board of Education - November 4, 2014 Election","San Francisco Campaign and Governmental Conduct Code (""S.F. C&GC Code"") sections 1.143(c), 1.152(a)(3), 1.161(b), 1.161.5, and 1.160.5 require persons who make any independent expenditure, electioneering communication, or member communication that clearly identifies a candidate for City elective office or who authorizes, administers or pays for a persuasion poll to file disclosure statements with the Ethics Commission. For detailed instructions, please see Third Party Disclosure Form Regarding Candidates."
2169,LA Advertising Businesses,"Listing of all active businesses currently registered with the Office of Finance. An ""active"" business is defined as a registered business whose owner has not notified the Office of Finance of a cease of business operations. Update Interval: Monthly."
2170,Partners in Preparedness,List of orgarnizations who have completed the necessary Emergency Preparedness tasks
2171,"Campaign Finance - Late Contribution Period - November 4, 2014 Election","This dataset includes all itemized late contributions (cumulative $1,000 or more) e-filed on Fair Political Practices Commission (FPPC) Form 497 Late Contribution Report from 2008 to the present.The data is current as of the last modified date on this dataset.See the data key for column definitions:  https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76"
2172,Campaign Consultants - Client Payments,"Campaign Consultants are required to report economic consideration promised by or received from clients in exchange for campaign consulting services during the applicable reporting period.  Economic consideration includes payments, fees, commissions, and reimbursements for expenses, gifts or anything else of value."
2173,Chicago Public Schools - High School Attendance Boundaries SY1011,"Attendance boundaries for high schools in the Chicago Public Schools district for school year 2010-2011. Generally, all students in the applicable high school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required."
2174,Upcoming contracts to be awarded (CAP),"<b>Current report not available pending SCA program On Pause.</b>_x000D_
New school projects (Capacity)  that will complete design within the next 6 months and will be available for bid."
2175,TEST,All building permits issued or in progress within the city of Seattle.
2176,Chicago Public Schools - Middle School Attendance Boundaries SY1112,"Attendance boundaries for middle schools in the Chicago Public Schools district for school year 2011-2012. Note: only 29 middle schools have attendance boundaries in school year 2011-2012. Middle school boundaries are often established to relieve overcrowding at nearby elementary schools. Generally, all students in the applicable middle school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required."
2177,"Third-Party Expenditures by Organizations in Support or Opposition of Candidates - November 6, 2012","San Francisco Campaign and Governmental Conduct Code (""S.F. C&GC Code"") sections 1.143(c), 1.152(a)(3), 1.161(b), 1.161.5, and 1.160.5 require persons who make any independent expenditure, electioneering communication, or member communication that clearly identifies a candidate for City elective office or who authorizes, administers or pays for a persuasion poll to file disclosure statements with the Ethics Commission. For detailed instructions, please see Third Party Disclosure Form Regarding Candidates."
2178,"ampaign Finance Total Public Funds Disbursed - November 6, 2018 Election",Campaign Finance - Public Funds Disbursed
2179,NYCHA Citywide Special Events,It contains the special events hosted by NYCHA
2180,Directory of Running Tracks,Running tracks in New York City Department of Parks & Recreation properties.
2181,Waterways,"Waterways in Chicago. To view or use these files, compression software and special GIS software, such as ESRI ArcGIS, is required."
2182,Joint Training Institute (JTI) and Joint Safety Institute (JSI) Financial Data,"The ledger of assets, revenues, and accounts for the Joint Safety Institute and the Joint Training Institute._x000D_
_x000D_
Financial documents and underlying data relating to City Controller Ron Galperin's audits of two trusts, the Joint Training Institute and the Joint Safety Institute. The two trusts are fully funded by the Department of Water and Power (DWP) and managed by an appointed board made up of equal numbers of representatives from DWP management and from the International Brotherhood of Electrical Workers (IBEW) Local 18, which represents the majority of workers at the DWP. All information below was compiled by the City's auditors for these two audits._x000D_
_x000D_
For more information, visit: https://controllerdata.lacity.org/Audits-and-Reports/Joint-Training-Institute-JTI-and-Joint-Safety-Inst/4i3e-krmq"
2183,Libraries - 2020 Wi Fi Usage,"The Chicago Public Library offers free WiFi at all locations. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 ��� June 7, 2020."
2184,Chicago Public Schools - School Profile Information SY1718,School profile information for all schools in the Chicago Public School district for the school year 2017-2018.
2185,Parks Closure Status Due to COVID-19: Adult Exercise Equipment,"In response to the COVID-19 pandemic, NYC Parks temporarily closed several amenities, including Adult Exercise Equipment. This data collection contains the status of each Adult Exercise Equipment, and is subject to change. Although the data feed is refreshed daily, it may not reflect current conditions._x000D_
_x000D_
Data Dictionary:_x000D_
_x000D_
https://docs.google.com/spreadsheets/d/1aaYE82BS-SYh-xjI-t_oyJcNEPFWJNPfdI7T220-rv4/edit#gid=1499621902"
2186,Racial and Social Equity Composite Index,"<div><div>The Racial and Social Equity Index combines information on race, ethnicity, and related demographics with data on socioeconomic and health disadvantages to identify where priority populations make up relatively large proportions of neighborhood residents.��</div><div><br /></div><div>Version:��<b>Current</b></div><div><br /></div><div>The Composite Index includes sub-indices of:�� ��</div></div><div><font color='#8b008b'><br /></font></div><div><b><font size='3'><font color='#000000'>Race, English Language Learners, and Origins Index</font><font color='#32cd32'>��</font></font></b><br /></div><div>ranks census tracts by an index of three measures weighted as follows:</div><div><br /></div><div><img alt='' src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/f07803899a174f21891c13cf6f73fc41/data' width='22' />�� ��Persons of color (weight: 1.0)<br /><img alt='' src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/26cc814b461c4b8d93e590586a79fa4f/data' width='27' />��English language learner (weight: 0.5)<br /><img alt='' src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/5f17b32f2f504e1f96a26033459d9af7/data' width='25' />�� Foreign born (weight: 0.5)<br /></div><div><br /></div><div><b><font color='#000000' size='3'>Socioeconomic Disadvantage Index��</font></b></div><div>ranks census tracts by an index of two equally weighted measures:</div><div><br /></div><div><img src='http://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/a3051da873684551be11afc77935e442/data' width='30' />��Income below 200% of poverty level��</div><div><img alt='grad' src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/6ab4ccadbb0744b49b9234cfebf71956/data' width='30' />��Educational attainment less than a bachelor���s degree</div><div><br /></div><div><b><font color='#000000' size='3'>Health Disadvantage Index</font><font color='#ff4500'>��</font></b></div><div>ranks census tracts by an index of seven equally weighted measures:</div><div><br /></div><div><img alt='' src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/b4712eae6780412592a79505f7927e4d/data' width='25' />��No leisure-time physical activity</div><div><img alt='' src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/f7415c7b4ba1463f8c88ecbd95093631/data' width='22' />�� Diagnosed diabetes��</div><div><img alt='' src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/b670392c274a4ea4a3ad73b0bcea77c2/data' width='15' />�� ��Obesity</div><div><img alt='' src='#seattlecitygis.maps.arcgis.com/sharing/rest/content/items/3d60f105993148bc8c10080c7ddb0633/data' width='25' />��Mental health not good��</div><div><img alt='' src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/85f2c5719b3744b99be9014bf9cc7b7b/data' width='22' />�� Asthma</div><div><img alt='' src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/59551594ee2f4271afe19e818ab3c60f/data' width='27' />Low life expectancy at birth</div><div><img src='https://seattlecitygis.maps.arcgis.com/sharing/rest/content/items/81c8cbc1c2e143019c93680cec4dba28/data' width='25' />��Disability</div><div><br /></div><div><div style='font-family: &quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size: 14px;'><font size='2'><i>The index does not reflect population densities, nor does it show variation within census tracts which can be important considerations at a local level.</i></font></div><div style='font-family: &quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size: 14px;'><font size='2'><i><br /></i></font></div><div style='font-family: &quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size: 14px;'><font size='2'>Produced by City of Seattle Offic"
2187,arrest data from 2010 to 03/10/18 lapd,"This dataset reflects arrest incidents in the City of Los Angeles dating back to 2010. This data is transcribed from original arrest reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0.0000��, 0.0000��). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments."
2188,Chicago Public Schools - School Admissions Information SY1718,School admissions information for all Chicago Public Schools for the academic year 2017-2018.
2189,Flu Shot Clinic Locations - 2013 - Calendar,"List of Chicago Department of Public Health free flu clinics offered throughout the city. For more information about the flu, go to http://bit.ly/9uNhqG."
2190,Directory of Tennis Courts,Tennis courts in New York City Department of Parks & Recreation properties.
2191,Flu Shot Locations - 2014 - Present,"List of free flu clinics offered throughout Chicago, either by the Department of Public Health or in collaboration with it.

Unlike older versions of the flu shot datasets, this one combines multiple years and will grow over the years. Seasons are now identified by the years they span (e.g., 2018-2019) instead of the year in which they begin (e.g., 2018).

Each season has a filtered view showing only records from that season. These filtered views can be used for almost all purposes as if they were datasets.

This dataset approximately follows https://github.com/codeforamerica/flu-shot-spec/blob/master/data-format.csv and is designed for use by https://github.com/tkompare/chicagoflushots.

For more information about the flu, go to https://www.cityofchicago.org/city/en/depts/cdph/provdrs/flu.html."
2192,Canine Waste Dispensers,"��� One line of data represents the location of a canine waste bag dispenser, including what surface it is mounted on, who refills it, who made it, and when it was installed.
��� Data is collected by analysts located in each borough and collated by Parks��� Innovation & Performance Management team.
��� Data is updated as needed using an ArcGIS Online web application.
��� Records for dispensers that are no longer active have been removed
��� Not all records have an installation date. Records will only have an OMPPropID and SubProperty name if they fall within the bounds of a sub property."
2193,LAPD Calls for Service 2013,This dataset reflects calls for service incidents in the City of Los Angeles in the year 2013. This data is as accurate as the data in the database. Please note questions or concerns in the comments.
2194,Parks Closure Status Due to COVID-19: Dog Runs,"In response to the COVID-19 pandemic, NYC Parks temporarily closed several amenities, including Dog Runs. This data collection contains the status of each Dog Run, and is subject to change. Although the data feed is refreshed daily, it may not reflect current conditions._x000D_
_x000D_
Data Dictionary:_x000D_
_x000D_
https://docs.google.com/spreadsheets/d/1aaYE82BS-SYh-xjI-t_oyJcNEPFWJNPfdI7T220-rv4/edit#gid=1499621902"
2195,Seattle Marijuana Infractions,Marijuana violations filed in Seattle by type and year
2196,"Campaign Finance - Summary of Third Party Disclosure Forms Regarding San Francisco Candidates - June 5, 2018","San Francisco Campaign and Governmental Conduct Code (""S.F. C&GC Code"") sections 1.143(c), 1.152(a)(3), 1.161(b), 1.161.5, and 1.160.5 require persons who make any independent expenditure, electioneering communication, or member communication that clearly identifies a candidate for City elective office or who authorizes, administers or pays for a persuasion poll to file disclosure statements with the Ethics Commission. For detailed instructions, please see Third Party Disclosure Form Regarding Candidates."
2197,Cool It! NYC 2020 - Drinking Fountains,"This dataset represents amenities activated as a part of Cool It! NYC, a Citywide plan to increase the amount of cooling features available to the public during heat emergencies, particularly in neighborhoods that face the dangers of high heat. This is part of the Cool It! NYC 2020 Data Collection, which includes the following amenities:_x000D_
  _x000D_
Drinking Fountains: Indicates whether a drinking fountain is activated, not yet activated, broken, or under construction. _x000D_
_x000D_
Spray Showers: Indicates whether a spray shower installed before July 2020 is activated, not yet activated, broken, or under construction. At this time, spray showers are mapped to the middle of parks. _x000D_
 _x000D_
Cooling Sites: To measure neighborhoods that are the most at risk during extreme heat, NYC Health and Columbia University developed the New York City Heat Vulnerability Index, or HVI. Parks used this data to direct new cooling elements to neighborhoods with HVIs of 4 and 5._x000D_
 _x000D_
Data Dictionary: https://docs.google.com/spreadsheets/d/1GpXHX9p0e520LcAf3gstOKTQm64wxkdDUiACjhMwd9Q/edit?usp=sharing"
2198,Services for NYCHA Residents Local Law 163,"This dataset contains information about 15 services available to NYCHA residents. The datasets for services listed form part of the annual report compiled by the Mayor���s Office of Operations as mandated by the <a href=""https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2745761&GUID=2A9FB1D2-A1A8-4484-9D49-6F8332171B66"">Local Law 163 of 2016</a>. The datasets in this report can be searched by using the keyword ���Services available to NYCHA Residents - Local Law 163 (2016)��� on the Open Data Portal. _x000D_
Each row in the dataset represents information about a unique service."
2199,Travel Decision Survey Data 2013,"This workbook provides data and data dictionaries for the SFMTA 2013 Travel Decision Survey._x000D_
The 2013 Summary Report and Methodology, including the survey instrument, can be found online at https://www.sfmta.com/about-sfmta/reports/travel-decision-survey-2013._x000D_
Data, methodologies, and summary report for other SFMTA travel decision surveys is available on sfmta.com._x000D_
On behalf of San Francisco Municipal Transportation Agency (SFMTA), Corey, Canapary & Galanis (CC&G) undertook a Mode Share Survey within the City and County of San Francisco as well as the eight surrounding Bay Area counties of Alameda, Contra Costa, San Mateo, Marin, Santa Clara, Napa, Sonoma and Solano._x000D_
_x000D_
The primary goals of this study were to:_x000D_
��� Assess percent mode share for travel in San Francisco for evaluation of the SFMTA Strategic Objective 2.3: Mode Share target of 50% non-private auto travel by FY2018 with a 95% confidence level and MOE +/- 5% or less._x000D_
��� Evaluate the above statement based on the following parameters:  number of trips to, from, and within San Francisco by Bay Area residents. Trips by visitors to the Bay Area and for commercial purposes are not included._x000D_
��� Provide additional trip details, including trip purpose for each trip in the mode share question series._x000D_
��� Collect demographic data on the population of Bay Area residents who travel to, from, and within San Francisco._x000D_
��� Collect data on travel behavior and opinions that support other SFMTA strategy and project evaluation needs._x000D_
_x000D_
The survey was conducted as a telephone study among with approximately 750 Bay Area residents aged 18 and older. Interviewing was conducted in English, Spanish, and Cantonese. Surveying was conducted via random digit dial (RDD) and cell phone sample. _x000D_
All three survey datasets incorporate respondent weighting based on age and home location; utilize the ���weight��� field when appropriate in your analysis. _x000D_
_x000D_
The survey period for this survey is as follows:_x000D_
2013: April 2014 ��� May 2014 (survey name of 2013 reflects the originally planned start date of Fall 2013) _x000D_
_x000D_
The margin of error is related to sample size (n). For the total sample, the margin of error  is 3.5% for a confidence level of 95%. When looking at subsets of the data, such as just the SF population, just the female population, or just the population of people who bicycle, the sample size decreases and the margin of error increases. Below is a guide of the margin of error for different samples sizes. Be cautious in making conclusions based off of small sample sizes._x000D_
 _x000D_
At the 95% confidence level is:_x000D_
��� n = 767 (Total Sample). Margin of error = +/- 3.5%_x000D_
��� n = 384. Margin of error = +/- 4.95%_x000D_
��� n = 100. Margin of error = +/- 9.80%"
2200,"Campaign Finance - Late Contribution Period - June 7, 2016 and November 8, 2016 Elections","This dataset includes all itemized late contributions (cumulative $1,000 or more) e-filed on Fair Political Practices Commission (FPPC) Form 497 Late Contribution Report from 2008 to the present.The data is current as of the last modified date on this dataset.See the data key for column definitions:  https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76"
2201,Chicago Department of Public Health STI Specialty Clinic Locations,"City of Chicago Mental Health, Sexually Transmitted Infection (STI) Specialty, and Women Infant Children (WIC) clinic locations, hours of operation and contact information."
2202,"Campaign Finance - Summary Of Third Party Disclosure Forms Regarding San Francisco Candidates - November 6, 2018","San Francisco Campaign and Governmental Conduct Code (""S.F. C&GC Code"") sections 1.143(c), 1.152(a)(3), 1.161(b), 1.161.5, and 1.160.5 require persons who make any independent expenditure, electioneering communication, or member communication that clearly identifies a candidate for City elective office or who authorizes, administers or pays for a persuasion poll to file disclosure statements with the Ethics Commission. For detailed instructions, please see Third Party Disclosure Form Regarding Candidates."
2203,Citiwide Service Desk Statistics,NYC Service Desk Statistics
2204,FY2020 MMR Agency Performance Indicators,NYC agency performance indicators from the FY20 Mayor's Management Report (MMR)
2205,Department for the Aging (DFTA) Reported Line Item Expenditures by Month of NORC Services Contracted Providers,Reported Expenditures of Line Items by Month of registered and contracted agencies providing NORC Services.
2206,"Campaign Finance Total Public Funds Disbursed Chart - November 8, 2016 Election",Campaign Finance - Public Funds Disbursed
2207,2008 - 2009 School Progress Reports - All Schools,"2008/09 Progress Report results for all schools (data as of 3/23/2010)_x000D_
_x000D_
Peer indices are calculated differently depending on School Level.  Schools are only compared to other schools in the same School Level (e.g., Elementary, K-8, Middle, High, Transfer)_x000D_
_x000D_
1) Elementary & K-8 - peer index is a value from 0-100.  We use a composite demographic statistic based on % ELL, % SpEd, % Title I free lunch, and % Black/Hispanic.  Higher values indicate student populations with higher need._x000D_
_x000D_
2) Middle & High - peer index is a value from 1.00-4.50.  For middle schools, we use the average 4th grade proficiency ratings in ELA and Math for all their students that have 4th grade test scores.  For high schools, we use the average 8th grade proficiency ratings in ELA and Math for all their students that have 8th grade test scores, % SpEd, and % Overage.  Lower values indicate student populations with higher need."
2208,TLC Authorized Behind The Wheel Providers (Historical),**NOTE**: This list is historical. The providers listed DO NOT offer this course. The course is on hold and will be offered again by different providers in late 2019.
2209,2006 - 2012 English Language Arts (ELA) Test Results - Citywide - SWD,Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated citywide and student with disabilities.
2210,Libraries - 2011 Visitors by Location,"The Chicago Public Library opened four new locations in 2011: Greater Grand Crossing (4/23/11); Dunning (5/6/11); Daley, Richard M.-W Humboldt (7/8/11) and Little Village (10/3/11). Edgewater closed 6/16/11 for construction of a new branch; a bookmobile for holds pickup and returns opened 6/24/11. Altgeld closed for extended periods in July and August for air conditioning installation. Back of the Yards closed permanently 8/22/11 due to repeated flooding. All locations were closed February 2-February 3 due to weather. In addition, many locations experienced sporadic closures in summer 2011 due to weather-related issues. Visits to Water Works are not counted due to its location in the Chicago Visitor Information Center._x000D_
Asterisk (*) after location name indicates that count does not reflect the total building visitor count due to location of traffic counter. Community room and program traffic are not included in totals."
2211,"Campaign Finance Total Public Funds Disbursed Chart - November 6, 2012",Campaign Finance - Public Funds Disbursed
2212,NYPL Branch Services - Staten Island,New York Public Library (NYPL) branch services from July 2010 to June 2011 (Staten Island)
2213,Department for the Aging (DFTA) Services by Elderly Abuse and Crime Prevention Contracted Providers,Summary of DFTA Elder Abuse Contracts Budgeted Service Units by Service.
2214,testing,The 2014 Foreclosure Properties registered at HCIDLA between 1/1/2014 and 12/31/2014.
2215,Libraries - 2018 Visitors by Location,"The Chicago Public Library consists of the Harold Washington Library Center, Sulzer and Woodson regional libraries and over 70 neighborhood branches. Chicago Public Library consists of the Harold Washington Library Center, Sulzer and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence Branch closed due to a fire in 2015. Whitney Young has been closed since November 2017 for major renovations. Woodson Regional Library reopened after a major renovation in February 2018.

* Count does not reflect the total building visitor count due to location of traffic counter. Community room and program traffic are not included in totals."
2216,Libraries - 2018 Circulation by Location,"Circulation figures include new checkouts as well as renewals. Chicago Public Library consists of the Harold Washington Library Center, Sulzer and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence Branch closed due to a fire in 2015. Whitney Young has been closed since November 2017 for major renovations. Woodson Regional Library reopened after a major renovation in February 2018."
